date_sk,full_date,year,month,day
5028545975938480010,2016-01-01,2016,1,1
17224601274589809963,2016-01-02,2016,1,2
15752816128752308358,2016-01-03,2016,1,3
11945690670812419472,2016-01-04,2016,1,4
8487396836306341417,2016-01-05,2016,1,5
9270970186039788613,2016-01-06,2016,1,6
13582405466975050723,2016-01-07,2016,1,7
14204740724685247800,2016-01-08,2016,1,8
4258527866012881865,2016-01-09,2016,1,9
13159138592818841860,2016-01-10,2016,1,10
11337932903816090045,2016-01-11,2016,1,11
14080136664726719622,2016-01-12,2016,1,12
1378487182166010722,2016-01-13,2016,1,13
5885450197797981514,2016-01-14,2016,1,14
389591447645460535,2016-01-15,2016,1,15
3329805007085569743,2016-01-16,2016,1,16
13688771749048326053,2016-01-17,2016,1,17
6591856073149910780,2016-01-18,2016,1,18
12545429995175649785,2016-01-19,2016,1,19
8400594628558371624,2016-01-20,2016,1,20
2242181024369924028,2016-01-21,2016,1,21
3079200282957911583,2016-01-22,2016,1,22
12514285655810550861,2016-01-23,2016,1,23
13579592881983525982,2016-01-24,2016,1,24
9081577070701856926,2016-01-25,2016,1,25
10024297997846088582,2016-01-26,2016,1,26
2097237213554509079,2016-01-27,2016,1,27
8786213370490292896,2016-01-28,2016,1,28
13367262542775012048,2016-01-29,2016,1,29
18007803675466680266,2016-01-30,2016,1,30
10950823909723413491,2016-01-31,2016,1,31
18249782630143997830,2016-02-01,2016,2,1
15900973121893897617,2016-02-02,2016,2,2
1154657937409858284,2016-02-03,2016,2,3
3782684365853583063,2016-02-04,2016,2,4
4210859074649175885,2016-02-05,2016,2,5
11170620032457582077,2016-02-06,2016,2,6
9966431237758733233,2016-02-07,2016,2,7
8637986507954276003,2016-02-08,2016,2,8
394443944911775936,2016-02-09,2016,2,9
17513592932531082633,2016-02-10,2016,2,10
3938892304916501983,2016-02-11,2016,2,11
1629467369636572414,2016-02-12,2016,2,12
4220521206752993958,2016-02-13,2016,2,13
13429922076848358012,2016-02-14,2016,2,14
9860073957625282598,2016-02-15,2016,2,15
10064339119375103773,2016-02-16,2016,2,16
3417191639791288806,2016-02-17,2016,2,17
1991836744816191012,2016-02-18,2016,2,18
17260335724037055759,2016-02-19,2016,2,19
7869499063042967103,2016-02-20,2016,2,20
1098602062357445611,2016-02-21,2016,2,21
13709974775411757427,2016-02-22,2016,2,22
2673009677251442714,2016-02-23,2016,2,23
17859185698107149394,2016-02-24,2016,2,24
16029446839513033764,2016-02-25,2016,2,25
4989032972910305692,2016-02-26,2016,2,26
10542526566581734596,2016-02-27,2016,2,27
1269915348139137371,2016-02-28,2016,2,28
8723974081749688755,2016-02-29,2016,2,29
14713317214864428901,2016-03-01,2016,3,1
6688619381957513251,2016-03-02,2016,3,2
5599226050743203369,2016-03-03,2016,3,3
9466160333791043204,2016-03-04,2016,3,4
403155443840209406,2016-03-05,2016,3,5
11762711941709459426,2016-03-06,2016,3,6
3777260228563245532,2016-03-07,2016,3,7
234308923299973057,2016-03-08,2016,3,8
7395351010491294167,2016-03-09,2016,3,9
7250995684495927334,2016-03-10,2016,3,10
17845065319435690253,2016-03-11,2016,3,11
15162353296382934557,2016-03-12,2016,3,12
2404516290311944496,2016-03-13,2016,3,13
15892814117129776474,2016-03-14,2016,3,14
9269229995473321865,2016-03-15,2016,3,15
5434247937665676889,2016-03-16,2016,3,16
3856401471166405643,2016-03-17,2016,3,17
15598431426710093346,2016-03-18,2016,3,18
11493022873538860255,2016-03-19,2016,3,19
2541368101595467368,2016-03-20,2016,3,20
684999549332186981,2016-03-21,2016,3,21
2551940992815015596,2016-03-22,2016,3,22
4006803052762518507,2016-03-23,2016,3,23
13996766535524771517,2016-03-24,2016,3,24
1894792948642911638,2016-03-25,2016,3,25
7050455036253306815,2016-03-26,2016,3,26
8827518073700246670,2016-03-27,2016,3,27
12766652606550817412,2016-03-28,2016,3,28
1560817028409245466,2016-03-29,2016,3,29
1468985616502144345,2016-03-30,2016,3,30
6133355025890895368,2016-03-31,2016,3,31
14402528727324714314,2016-04-01,2016,4,1
13659636651038544074,2016-04-02,2016,4,2
998012487057749717,2016-04-03,2016,4,3
13820332516289154084,2016-04-04,2016,4,4
14075781542349235404,2016-04-05,2016,4,5
2785398664594835233,2016-04-06,2016,4,6
6177329398037956622,2016-04-07,2016,4,7
8664802924122742930,2016-04-08,2016,4,8
14354843402155519854,2016-04-09,2016,4,9
